input,output,reaction,name,schemaClass,module
HLA-A,IRF8,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IRF6,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IRF3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IRF1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IRF5,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IRF9,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IRF4,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,PSMB8,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,MX1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,MX2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,HLA-A,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,HLA-C,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,HLA-B,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,HLA-G,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,HLA-F,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,HLA-E,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,HLA-H,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IFITM3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IP6K2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,RNASEL,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IFITM2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,XAF1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IFI6,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,BST2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,RSAD2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,SAMHD1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,EGR1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,OAS3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,OAS2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,OASL,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,OAS1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IFITM1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,ISG15,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IFI35,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IFIT5,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IFIT3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IFI27,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,ADAR,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IFIT1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,IFIT2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,GBP2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-A,ISG20,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IRF7,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IRF2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IRF8,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IRF6,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IRF3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IRF1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IRF5,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IRF9,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IRF4,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,PSMB8,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,MX1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,MX2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,HLA-A,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,HLA-C,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,HLA-B,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,HLA-G,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,HLA-F,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,HLA-E,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,HLA-H,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IFITM3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IP6K2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,RNASEL,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IFITM2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,XAF1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IFI6,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,BST2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,RSAD2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,SAMHD1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,EGR1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,OAS3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,OAS2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,OASL,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,OAS1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IFITM1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,ISG15,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IFI35,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IFIT5,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IFIT3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IFI27,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,ADAR,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IFIT1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,IFIT2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,GBP2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-E,ISG20,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IRF7,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IRF2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IRF8,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IRF6,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IRF3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IRF1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IRF5,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IRF9,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IRF4,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,PSMB8,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,MX1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,MX2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,HLA-A,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,HLA-C,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,HLA-B,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,HLA-G,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,HLA-F,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,HLA-E,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,HLA-H,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IFITM3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IP6K2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,RNASEL,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IFITM2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,XAF1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IFI6,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,BST2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,RSAD2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,SAMHD1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,EGR1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,OAS3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,OAS2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,OASL,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,OAS1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IFITM1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,ISG15,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IFI35,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IFIT5,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IFIT3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IFI27,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,ADAR,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IFIT1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,IFIT2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,GBP2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-F,ISG20,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IRF7,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IRF2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IRF8,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IRF6,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IRF3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IRF1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IRF5,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IRF9,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IRF4,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,PSMB8,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,MX1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,MX2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,HLA-A,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,HLA-C,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,HLA-B,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,HLA-G,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,HLA-F,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,HLA-E,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,HLA-H,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IFITM3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IP6K2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,RNASEL,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IFITM2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,XAF1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IFI6,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,BST2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,RSAD2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,SAMHD1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,EGR1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,OAS3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,OAS2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,OASL,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,OAS1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IFITM1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,ISG15,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IFI35,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IFIT5,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IFIT3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IFI27,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,ADAR,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IFIT1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,IFIT2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,GBP2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-B,ISG20,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IRF7,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IRF2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IRF8,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IRF6,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IRF3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IRF1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IRF5,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IRF9,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IRF4,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,PSMB8,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,MX1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,MX2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,HLA-A,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,HLA-C,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,HLA-B,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,HLA-G,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,HLA-F,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,HLA-E,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,HLA-H,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IFITM3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IP6K2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,RNASEL,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IFITM2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,XAF1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IFI6,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,BST2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,RSAD2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,SAMHD1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,EGR1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,OAS3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,OAS2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,OASL,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,OAS1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IFITM1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,ISG15,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IFI35,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IFIT5,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IFIT3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IFI27,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,ADAR,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IFIT1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,IFIT2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,GBP2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-G,ISG20,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IRF7,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IRF2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IRF8,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IRF6,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IRF3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IRF1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IRF5,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IRF9,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IRF4,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,PSMB8,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,MX1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,MX2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,HLA-A,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,HLA-C,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,HLA-B,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,HLA-G,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,HLA-F,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,HLA-E,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,HLA-H,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IFITM3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IP6K2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,RNASEL,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IFITM2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,XAF1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IFI6,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,BST2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,RSAD2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,SAMHD1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,EGR1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,OAS3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,OAS2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,OASL,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,OAS1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IFITM1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,ISG15,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IFI35,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IFIT5,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IFIT3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IFI27,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,ADAR,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IFIT1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,IFIT2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,GBP2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
HLA-H,ISG20,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,IRF7,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,IRF2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,IRF8,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,IRF6,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,IRF3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,IRF1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,IRF5,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,IRF9,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,IRF4,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,PSMB8,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,MX1,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,MX2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,HLA-A,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,HLA-C,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,HLA-B,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,HLA-G,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,HLA-F,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,HLA-E,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,HLA-H,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,IFITM3,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
IFI35,IP6K2,R-HSA-1015702,Expression of IFN-induced genes,BlackBoxEvent,Immune System
