input,output,reaction,name,schemaClass,module
R-ALL-29356,R-HSA-202157,R-HSA-202214,Dephosphorylation of Lck-pY505 by CD45,Reaction,Immune System
R-HSA-202154,R-HSA-202157,R-HSA-202214,Dephosphorylation of Lck-pY505 by CD45,Reaction,Immune System
R-HSA-202154,R-ALL-29372,R-HSA-202214,Dephosphorylation of Lck-pY505 by CD45,Reaction,Immune System
R-HSA-202157,R-HSA-202154,R-HSA-202233,Inactivation of Lck by Csk,Reaction,Immune System
R-ALL-113592,R-HSA-202154,R-HSA-202233,Inactivation of Lck by Csk,Reaction,Immune System
PAG1,R-HSA-202297,R-HSA-203774,Interaction of Csk with PAG,Reaction,Immune System
CSK,R-HSA-202297,R-HSA-203774,Interaction of Csk with PAG,Reaction,Immune System
LAT,R-HSA-202240,R-HSA-202212,Recruitment of PLC-gamma1 to LAT,Reaction,Immune System
PLCG1,R-HSA-202240,R-HSA-202212,Recruitment of PLC-gamma1 to LAT,Reaction,Immune System
PLCG1,R-HSA-202279,R-HSA-202331,Recruitment of PLC-gamma1 to SLP-76,Reaction,Immune System
R-HSA-202162,R-HSA-202279,R-HSA-202331,Recruitment of PLC-gamma1 to SLP-76,Reaction,Immune System
R-HSA-202302,PLCG1,R-HSA-213407,Disassociation of PLC-gamma1 from SLP-76,Reaction,Immune System
R-HSA-202302,R-HSA-202162,R-HSA-213407,Disassociation of PLC-gamma1 from SLP-76,Reaction,Immune System
R-HSA-202310,LAT,R-HSA-213406,Disassociation of PLC-gamma1 from LAT,Reaction,Immune System
R-HSA-202310,PLCG1,R-HSA-213406,Disassociation of PLC-gamma1 from LAT,Reaction,Immune System
TRAT1,R-HSA-202283,R-HSA-202203,Recruitment of PI3K to plasma membrane,Reaction,Immune System
R-HSA-74693,R-HSA-202283,R-HSA-202203,Recruitment of PI3K to plasma membrane,Reaction,Immune System
R-HSA-198379,R-HSA-388785,R-HSA-388830,PI3K binds ICOS,Reaction,Immune System
ICOS,R-HSA-388785,R-HSA-388830,PI3K binds ICOS,Reaction,Immune System
R-HSA-388788,R-HSA-388785,R-HSA-9031652,Positive regulation by 'ICOS:ICOSL [plasma membrane]',PositiveRegulation,Immune System
C3,R-HSA-444688,R-HSA-444647,C3a receptor binds anaphylatoxin C3a,Reaction,Immune System
C3AR1,R-HSA-444688,R-HSA-444647,C3a receptor binds anaphylatoxin C3a,Reaction,Immune System
R-HSA-166822,C3,R-HSA-166817,Cleavage of C3 by C3 convertases,Reaction,Immune System
R-HSA-166822,R-HSA-166832,R-HSA-166817,Cleavage of C3 by C3 convertases,Reaction,Immune System
R-HSA-173752,C3,R-HSA-174551,Formation of alternative pathway C5 convertase,Reaction,Immune System
R-HSA-173752,R-HSA-174554,R-HSA-174551,Formation of alternative pathway C5 convertase,Reaction,Immune System
R-HSA-166822,R-HSA-174554,R-HSA-174551,Formation of alternative pathway C5 convertase,Reaction,Immune System
R-HSA-173749,R-HSA-173752,R-HSA-173754,Properdin stabilizes C3b:Bb bound to cell surfaces,Reaction,Immune System
R-HSA-182548,R-HSA-173752,R-HSA-173754,Properdin stabilizes C3b:Bb bound to cell surfaces,Reaction,Immune System
R-HSA-173737,R-HSA-173749,R-HSA-183122,Factor D cleaves C3b-bound Factor B,Reaction,Immune System
R-HSA-173737,CFB,R-HSA-183122,Factor D cleaves C3b-bound Factor B,Reaction,Immune System
R-HSA-981542,R-HSA-173737,R-HSA-183126,Factor B binds to surface-associated C3b,Reaction,Immune System
CFB,R-HSA-173737,R-HSA-183126,Factor B binds to surface-associated C3b,Reaction,Immune System
R-HSA-166832,R-HSA-981542,R-HSA-981539,C3b binds to cell surface,Reaction,Immune System
R-ALL-983438,R-HSA-981542,R-HSA-981539,C3b binds to cell surface,Reaction,Immune System
R-HSA-182529,CFB,R-HSA-173745,Factor D cleaves C3(H2O)-bound Factor B,Reaction,Immune System
R-HSA-182529,R-HSA-182451,R-HSA-173745,Factor D cleaves C3(H2O)-bound Factor B,Reaction,Immune System
CFB,R-HSA-182529,R-HSA-173740,Factor B binds to C3(H2O),Reaction,Immune System
R-HSA-182450,R-HSA-182529,R-HSA-173740,Factor B binds to C3(H2O),Reaction,Immune System
R-ALL-109276,R-HSA-182450,R-HSA-173739,Spontaneous hydrolysis of C3 thioester,Reaction,Immune System
R-HSA-166822,R-HSA-182450,R-HSA-173739,Spontaneous hydrolysis of C3 thioester,Reaction,Immune System
C2,R-HSA-166784,R-HSA-166795,Formation of Classical C3 convertase (C4b:C2a complex),Reaction,Immune System
R-HSA-981716,R-HSA-166784,R-HSA-166795,Formation of Classical C3 convertase (C4b:C2a complex),Reaction,Immune System
C2,C2,R-HSA-166792,Conversion of C2 into C2a and C2b,Reaction,Immune System
R-HSA-2855093,R-HSA-2855106,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855093,R-HSA-166724,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855093,R-HSA-2855080,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855093,R-HSA-2855064,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-166719,R-HSA-2855106,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-166719,R-HSA-166724,R-HSA-166726,Activation of MASPs,Reaction,Immune System
