Protein,Drop,Gain
CARD9,-16.73686726902092,1.0002194627504681
IL12A,-16.629587805619522,1.7401141877133854
PIK3R1,-16.485211265810257,1.5347885534077779
C5AR1,-16.44647790193756,0.0489410372877651
UBE2E3,-16.39284917429029,0.000981906673641235
LAT,-16.25493995700401,1.3282175074097868
CD46,-15.919619749458263,0.050948979226266795
CDKN1A,-15.860266180508097,0.024883422152772713
VIM,-15.633413401635988,0.34239030892311734
CLEC7A,-15.630458194572595,2.640933667524847
SH3RF1,-15.622820924086811,0.48465649293801283
SIAH1,-15.52946694229168,3.4249361904688667
SYK,-15.195768202535398,0.6996640138080462
TRIM50,-15.16861603476631,0.0004743307940233306
TYK2,-15.040783516195662,3.527479167243725
HSP90AA1,-15.040533011749506,0.12817430367478175
PLCG2,-15.034631724886632,0.77860838744907
UBE2L3,-14.973355149495617,0.01033889300206339
CDC34,-14.87602050239335,0.0015524787489536562
IL23R,-14.762776843226908,0.22856431711804953
MAPK3,-14.261792817344027,0.2708360514969927
CBLB,-14.208804472676517,0.08478812491307194
BTN2A2,-14.200017320859185,3.85206318056627
AKT2,-13.97791633466266,0.0731030619894058
MCL1,-13.844235203069346,0.009399333059089781
NOS2,-13.844235203069346,0.009399333059089599
FSCN1,-13.844235203069346,0.009399333059089599
RHOU,-13.844235203069315,0.00939933305908966
IL6R,-13.776304401208991,4.151461167099562
IL6,-13.760374753347508,3.028588503954415
KIR2DL3,-13.69353565280186,4.772210731006897
FCER2,-13.588383945829737,1.2580999070393428
SEC22B,-13.416606353538466,3.461230201794157
ITGAM,-13.379643892048705,0.003127461934222024
STX1A,-13.262339849859039,1.4679685131552587
LIF,-13.1903533024308,2.993919256488703
SUMO1,-13.124675059358927,0.3923363668121737
SHC1,-13.082895320946031,1.3039223226937957
TNF,-13.051358557900768,5.161321052999918
MAPK9,-12.982918074719887,0.06276799413274889
AKT3,-12.527834336375458,0.054709346778221195
SMAD3,-12.46169520210855,5.019724731539372
OPRM1,-12.434890431346593,0.06108073443635996
LONRF1,-12.426154511206791,0.9838680454021351
PTPN11,-12.347293039156614,2.7561250945309137
FYN,-12.343733630689345,0.23458404346388959
LYN,-12.310977254146357,0.5739718920107676
S1PR1,-12.268960842320743,0.0024646711034112955
TRAF3,-12.235314456308426,0.26846656318864065
UBE2J1,-12.229998858142975,0.01632502381400372
WASL,-12.093618648764947,0.6103995367931977
LCK,-11.969490732794343,0.3895122865261828
UBE2M,-11.95144671564574,0.0005481043361055115
PAK2,-11.926543970798486,1.5112030369571436
PDIA3,-11.885757861600677,0.0907421023927065
IRAK4,-11.745587236744553,1.8688346021242492
SEC23A,-11.698964685023737,0.6677129317136868
EIF2AK2,-11.655081165585697,0.0004525694001413365
UBE2R2,-11.585850077885347,0.0003710811298821623
UBE2A,-11.585850077885347,0.0003710811298821623
UBE2G2,-11.566410244978389,0.0006454775866750269
PELI1,-11.534534496734514,1.5884252059771917
PAK1,-11.358685565597625,1.3274532524580445
UBE2U,-11.3504286875204,0.0005060103112232542
UBE2V1,-11.3504286875204,0.0005060103112230965
FLNB,-11.34598871826534,0.04466237460371624
